,Job Title,Job Type,Company Name,Posted Date,Cities,States,Stipend,Start Date,Duration,Numer of Openings,Late date to apply
1282,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Panchayat Bhagwantnagar unnao,25-03-2023,Bhagwantnagar Unnao,Uttar Pradesh,Unpaid,Immediately,1 Months,1,05-05-2023
1283,HEALTH INSPECTOR,Full Time,Bashettihalli Town Panchayat,27-03-2023,Bangalore Rural,Karnataka,7000 /month,Immediately,03 Months,1,03-04-2023
1284,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,nagar panchayat pachperwa balrampur,27-03-2023,Balrampur,Uttar Pradesh,Unpaid,Immediately,2 Months,2,05-05-2023
1285,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Panchayat Ganjmuradabad District Unnao,27-03-2023,Unnao,Uttar Pradesh,Unpaid,Immediately,1 Months,1,29-04-2023
1286,CLEANLINESS EXPOSURE,Full Time,Nagar Panchayat Budhanpur,27-03-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,1 Months,5,30-04-2023
1287,IEC INTERN,Full Time,NAGAR PALIKA PARISAD BILARIYAGANJ AZAMGARH,27-03-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,1 Months,5,05-05-2023
1288,SWACCH BHARAT MISSION,Full Time,Nagar Panchayat Budhanpur,27-03-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,1 Months,5,07-05-2023
1289,"IEC, SOLID WASTE MANAGMENT IN SITAPUR",Part Time,Nagar Panchayat Tambour Ahmdabad District Sitapur,27-03-2023,Sitapur,Uttar Pradesh,Unpaid,Immediately,02 Months,2,25-04-2023
1290,SWACHH BHARAT MISSION INTERNS,Part Time,NAGAR PALIKA PARISHAD MUBARAKPUR,27-03-2023,Mubarakpur,Uttar Pradesh,Unpaid,Immediately,3,5,10-04-2023
1291,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,Nagar Panchayat Achalganj,27-03-2023,Unnao,Uttar Pradesh,Unpaid,Immediately,1 Months,1,07-04-2023
1292,SWACHH  BHARATH MISSION,Full Time,Nagar Panchayat Budhanpur,28-03-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,1 Months,5,30-04-2023
1293,SBM,Full Time,"Nagar Panchayat Nighasan, Kheri",28-03-2023,Nighasan,Uttar Pradesh,Unpaid,Immediately,1 YEAR,5,28-03-2023
1294,SBM INTERNSHIP COMMUNICATION,Part Time,NAGAR PANCHAYAT AMETHI LUCKNOW,28-03-2023,Lucknow,Uttar Pradesh,Unpaid,Immediately,2 Months,1,31-03-2023
1295,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Panchayat Nawabganj,28-03-2023,Nawabganj,Uttar Pradesh,Unpaid,Immediately,1 Months,1,05-05-2023
1296,SWACHH BHARAT MISSION INTERNS,Full Time,NAGAR PALIKA PARISHAD RUDAULI AYODHYA,28-03-2023,Faizabad,Uttar Pradesh,Unpaid,Immediately,1 year,2,25-08-2024
1297,SBM INTERNSHIP,Part Time,Town Municipal Ramdurga,28-03-2023,Ramdurg,Karnataka,10000 /month,Immediately,1 Months,1,31-03-2023
1298,SWACHH BHARAT MISSION INTERNS,Full Time,Nagar Palika Parishad Zamania,31-03-2023,Zamania,Uttar Pradesh,Unpaid,Immediately,1 Months,10,10-04-2023
1299,SWACCH BHARAT MISSION,Full Time,Nagar Palika Parishad Mohamdabad,31-03-2023,Mohamdabad,Uttar Pradesh,Unpaid,Immediately,1 Months,10,10-04-2023
1300,SWACCH BHARAT MISSION,Full Time,Nagar Palika Parishad Zamania,31-03-2023,Zamania,Uttar Pradesh,Unpaid,Immediately,1 Months,10,10-04-2023
1301,PUBLIC AWARENESS OR MASTER TRAINER INTERN,Full Time,Goa State Urban Development Agency,31-03-2023,Panaji,Goa,15000 /month,Immediately,12 Months,1,30-06-2023
1302,URBAN PLANNER (INTERN),Full Time,Goa State Urban Development Agency,31-03-2023,Panaji,Goa,15000 /month,Immediately,12 Months,1,30-06-2023
1303,"PROGRAM MANAGEMENT, IMPLEMENTATION AND OPERATIONS",Full Time,Ministry of Housing and Urban Affairs,10-04-2023,New Delhi,Delhi,Unpaid,Immediately,1 Months,2,12-04-2023
1304,SWACCH BHARAT MISSION,Full Time,NAGAR PALIKA PARISHAD RUDAULI AYODHYA,10-04-2023,Faizabad,Uttar Pradesh,2000 /month,Immediately,1 Months,1,30-05-2023
1305,4. INTERNSHIP OPPORTUNITY WITH MUNICIPAL CORPORATION CHANDIGARH,Full Time,Municipal Corporation Chandigarh,10-04-2023,Chandigarh,Chandigarh,Unpaid,Immediately,2 months,4,31-05-2023
1306,SBM  2.0 INTERNSHIP,Full Time,Nagar Palika Parishad Chitrakootdham Karwi,10-04-2023,Chitrakoot,Uttar Pradesh,Unpaid,Immediately,1 Months,40,07-05-2023
1307,SOLID WASTE MANAGEMENT TRAINEE,Full Time,NAGAR PALIKA PARISHAD LAKHIMPUR,11-04-2023,Lakhimpur,Uttar Pradesh,Unpaid,Immediately,2 Months,100,30-05-2023
1308,SBM INTERNSHIP,Full Time,MUNICIPAL CORPORATION SHAHJAHANPUR,11-04-2023,Shahjahanpur,Uttar Pradesh,9000 /month,Immediately,12 Months,2,12-04-2023
1309,SBM INTERNSHIP,Full Time,MUNICIPAL CORPORATION SHAHJAHANPUR,11-04-2023,Shahjahanpur,Uttar Pradesh,9000 /month,Immediately,12 Months,1,11-04-2023
1310,SBM INTERNSHIP,Full Time,MUNICIPAL CORPORATION SHAHJAHANPUR,11-04-2023,Shahjahanpur,Uttar Pradesh,9000 /month,Immediately,6 Months,1,11-04-2023
1311,PUBLIC AWARENESS & COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,NAGAR PANCHAYAT MEHDAWAL,11-04-2023,Mehdawal,Uttar Pradesh,5500 /month,Immediately,2 Months,2,20-05-2023
1312,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,Nagar palika Parishad Orai,12-04-2023,Orai,Uttar Pradesh,Unpaid,Immediately,2 Months,10,20-04-2023
1313,PUBLIC AWARENESS SOCIAL MEDIA HANDLE & COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,NAGAR PANCHAYAT MAGAHAR,12-04-2023,Maghar,Uttar Pradesh,10000 /month,Immediately,2 Months,2,30-04-2023
1314,SBM INTERNSHIP,Full Time,Nagar Panchayat Kurawali,13-04-2023,Mainpuri,Uttar Pradesh,Unpaid,Immediately,4 Weeks,5,20-04-2023
1315,SBM URBAN,Full Time,NAGAR PANCHAYAT JYOTI KHUDIYA,13-04-2023,Mainpuri,Uttar Pradesh,Unpaid,Immediately,4 Weeks,5,20-04-2023
1316,SBM INTERNSHIP,Full Time,NAGAR PANACHAYAT KISHNI,13-04-2023,Mainpuri,Uttar Pradesh,Unpaid,Immediately,4 Weeks,5,20-04-2023
1317,SBM TRAINE,Full Time,"Nagar Panchayat Ghiror, Mainpuri",13-04-2023,Mainpuri,Uttar Pradesh,Unpaid,Immediately,4 Weeks,5,20-05-2023
1318,COMPUTER OPERATOR(INTERN),Full Time,"Nagar Panchayat Sirauli, Bareilly",15-04-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,3 Months,2,30-06-2024
1319,COMPUTER OPERATOR(INTERN),Part Time,Nagar Panchayat Shahi,15-04-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,1 Months,2,30-04-2023
1320,COMPUTER OPERATOR(INTERN),Full Time,NAGAR PALIKA PARISHAD AONLA,15-04-2023,Anola,Uttar Pradesh,Unpaid,Immediately,1 Months,5,30-04-2023
1321,COMPUTER OPERATOR,Full Time,nagar panchayat fatehganj west,15-04-2023,Bareilly,Uttar Pradesh,10000 /month,Immediately,12 Months,2,30-04-2023
1322,COMPUTER OPERATOR(INTERN),Full Time,NAGAR VIKAS VIBHAG,15-04-2023,Rithora,Uttar Pradesh,Unpaid,Immediately,2 month,2,07-05-2023
1323,COMPUTER OPERATOR,Part Time,nagar panchayat deoranian,15-04-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,1 Months,2,30-04-2023
1324,COMPUTER OPERATOR,Part Time,NAGAR PALIKA PARISHAD BAHERI,15-04-2023,Baheri,Uttar Pradesh,Unpaid,Immediately,1 Months,2,15-04-2023
1325,INTERNSHIP MANAGEMENT,Full Time,nagar panchayat madhoganj hardoi,17-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1326,SWACCH BHARAT MISSION,Full Time,Nagar Palika Parishad Pihani,17-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1327,OFFICE ASSISTANT,Full Time,NAGAR PALIKA PARSHAD SANDI,17-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1328,OFFICE MANEGMENT,Full Time,NAGAR PANCHAYAT KACHHAUNA PATSENI,17-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,2 Months,1,20-04-2023
1329,OFFICE ASSISTANT,Full Time,Nagar Panchayat Gopamau,17-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,1 Months,1,30-04-2023
1330,SBM COMMUNICATION INTERN LUCKNOW,Full Time,Nagar Nigam Lucknow,18-04-2023,Lucknow,Uttar Pradesh,Unpaid,Immediately,1 Months,15,24-04-2023
1331,"SBM COMMUNICATION, AND AWARENESS PROGRAMME INTERN",Full Time,Lucknow nagar panchayat bakshi ka talab,18-04-2023,Bakshi Ka Talab,Uttar Pradesh,Unpaid,Immediately,1 Months,40,14-05-2023
1332,SWACHH BHARAT MISSION INTERNS,Full Time,NAGAR PANCHAYAT DASNA,18-04-2023,Ghaziabad,Uttar Pradesh,Unpaid,Immediately,2 Months,50,31-05-2023
1333,INTERNS FOR IDENTIFICATION OF CORE SANITATION WORKER UNDER GARIMA,Full Time,Housing and Urban development Department Odisha,18-04-2023,Bhubaneswar,Odisha,15000 /month,Immediately,12 Months,50,28-08-2024
1334,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,NAGAR PALIKA PARISHAD BHINGA SHRAVASTI,18-04-2023,Shravasti,Uttar Pradesh,Unpaid,Immediately,2 Months,1,30-04-2023
1335,SBM TRAINIE,Full Time,NAGAR PANCHAYAT ETAPALLI,19-04-2023,Etapalli,Maharashtra,10000 /month,Immediately,6 Months,1,02-05-2023
1336,OFFICE ASSISENT,Full Time,Nagar Palika Parishad Hata,19-04-2023,Kushinagar,Uttar Pradesh,Unpaid,Immediately,3 Months,5,25-07-2024
1337,INTERNSHIP IN OFFICE MANAGEMENT,Full Time,NAGAR PALIKA PARISHAD HARDOI,19-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,2 Months,5,31-05-2023
1338,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Part Time,Nagar Panchayat Nadigaon,19-04-2023,Konch,Uttar Pradesh,Unpaid,Immediately,2 Months,2,25-04-2023
1339,SBM INTERNSHIP,Full Time,Nagar Panchayat Shamsabad,19-04-2023,Farrukhabad,Uttar Pradesh,Unpaid,Immediately,1 Months,1,30-04-2023
1340,SBM INTERNSHIP,Full Time,Nagar Panchayat Shamsabad,19-04-2023,Farrukhabad,Uttar Pradesh,Unpaid,Immediately,1 Months,1,30-04-2023
1341,INFORMATION EDUCATION AND COMMUNICATION UNDER SBM-U,Full Time,Jiribam Municipal Council,19-04-2023,Jiribam,Manipur,Unpaid,Immediately,8 Weeks,1,05-05-2023
1342,URBAN DEVELOPMENT INTERN,Full Time,Nagar Panchayat Beniganj,19-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,1 Months,1,31-05-2023
1343,SBM INTERNSHIP,Part Time,Nagar Panchayat Paniyara,20-04-2023,Maharajganj,Uttar Pradesh,Unpaid,Immediately,1 Months,2,15-05-2023
1344,OFFICE MANEGMENT,Full Time,Nagar Palika Parishad Bilgram Dist Hardoi,20-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1345,GARBAGE FREE CITIES PLANNING AND PREASSESMENT,Full Time,Alampur municipality,20-04-2023,Jogulamba Gadwal,Telangana,5000 /month,Immediately,1 Months,2,06-05-2023
1346,SBM INTERNSHIP,Part Time,NAGAR PANCHAYAT SONAULI,20-04-2023,Sonauli,Uttar Pradesh,Unpaid,Immediately,1 Months,2,30-04-2023
1347,INTERNSHIP IN OFFICE MANAGEMENT,Full Time,NAGAR PALIKA PARISHAD SANDILA,20-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1348,DATA ENTRY OPERATOR,Full Time,NAGAR PALIKA PARISHAD KOSI KALAN,20-04-2023,Kosi Kalan,Uttar Pradesh,Unpaid,Immediately,2 Weeks,4,31-05-2023
1349,SWACHH BHARAT MISSION INTERNS,Full Time,NAGAR PALIKA PARISHAD DADRI,20-04-2023,Dadri,Uttar Pradesh,Unpaid,Immediately,2 Months,2,20-05-2023
1350,AMRUT: URBAN WATER INFRASTRUCTURE INTERNSHIP,Part Time,NAGAR PALIKA PARISHAD DADRI,20-04-2023,Dadri,Uttar Pradesh,Unpaid,Immediately,2 Months,2,20-05-2023
1351,SBM WET AND DRY COLLECTION,Part Time,NAGAR PALIKA PARISHAD DADRI,20-04-2023,Dadri,Uttar Pradesh,Unpaid,Immediately,2 Months,2,20-05-2023
1352,DRUG FREE INDIA-NASHA MUKT BHARAT ABHIYAAN MINISTRY OF SOCIAL JUSTICE & EMPOWERMENT,Full Time,NAGAR PALIKA PARISHAD DADRI,20-04-2023,Dadri,Uttar Pradesh,Unpaid,Immediately,2 Months,1,20-05-2023
1353,OFFICE MANEGMENT,Full Time,Nagar Panchayat Kursath,21-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,1 Months,1,31-05-2023
1354,PUBLIC AWARENESS & COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Part Time,NAGAR PALIKA PARISHAD PILIBHIT,21-04-2023,Pilibhit,Uttar Pradesh,Unpaid,Immediately,12 Weeks,5,09-06-2023
1355,ULB INTERSHIP,Full Time,NAGAR PANCHAYAT DANKAUR,21-04-2023,Gautam Buddha Nagar,Uttar Pradesh,Unpaid,Immediately,2 Months,5,30-06-2023
1356,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,NPP Mauranipur,21-04-2023,Jhansi,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1357,SBM INTERNSHIP,Full Time,NAGAR PALIKA PARISHAD KAIMGANJ FARRUKHABAD,21-04-2023,Kaimganj,Uttar Pradesh,Unpaid,Immediately,2 Months,1,08-05-2023
1358,SBM INTERNSHIP,Full Time,NAGAR PALIKA PARISHAD KAIMGANJ FARRUKHABAD,21-04-2023,Kaimganj,Uttar Pradesh,Unpaid,Immediately,1 Months,1,08-05-2023
1359,IEC INTERN,Full Time,NAGAR PALIKA PARISHAD BANSI DISTRICT SIDDHARTHNAGAR,21-04-2023,Bansi,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2,30-04-2023
1360,IEC INTERN,Full Time,NP Barhnibazar,21-04-2023,Siddharthnagar,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2,19-05-2023
1361,OFFICE ASSISTANT,Full Time,NAGAR PANCHAYAT KAPTANGANJ KUSHINAGAR,21-04-2023,Capianganj,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1362,SBM INTERNSHIP,Full Time,NAGAR PALIKA PARISHAD KAIMGANJ FARRUKHABAD,21-04-2023,Kaimganj,Uttar Pradesh,Unpaid,Immediately,2 Months,1,08-05-2023
1363,SBM INTERNSHIP COMMUNICATION,Full Time,Nagar Panchayat Maharajganj,21-04-2023,Azamgarh,Uttar Pradesh,1000 /month,Immediately,3 Months,10,05-05-2023
1364,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,NPP Tundla,21-04-2023,Firozabad,Uttar Pradesh,Unpaid,Immediately,2 Months,2,25-04-2023
1365,SBM INTERNSHIP,Full Time,Nagar Panchayat Maharajganj,21-04-2023,Azamgarh,Uttar Pradesh,1500 /month,Immediately,3 Months,10,05-05-2023
1366,SBM URBAN,Full Time,NAGAR PALIKA PARISHAD CHANDAUSI,21-04-2023,Sambhal,Uttar Pradesh,Unpaid,Immediately,3 Months,10,31-05-2023
1367,SBM INTERNSHIP,Full Time,NAGAR PALIKA PARISHAD KAIMGANJ FARRUKHABAD,21-04-2023,Kaimganj,Uttar Pradesh,Unpaid,Immediately,1 Months,1,08-05-2023
1368,PLASTIC BAN,Full Time,Nagar Panchayat Maharajganj,21-04-2023,Azamgarh,Uttar Pradesh,1000 /month,Immediately,2 Months,20,30-04-2023
1369,DISPOSAL OF GARBAGE,Full Time,Nagar Panchayat Maharajganj,21-04-2023,Azamgarh,Uttar Pradesh,1500 /month,Immediately,2 Months,3,30-04-2023
1370,SBM INTERNSHIP COMMUNICATION,Full Time,Nagar Panchayat Rura,21-04-2023,Kanpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1,10-05-2023
1371,SWACHH BHARAT MISSION,Part Time,Nagar Panchayat Bilaspur Gautam Buddha Nagar,21-04-2023,Gautam Buddha Nagar,Uttar Pradesh,Unpaid,Immediately,2 Months,1,26-05-2023
1372,OFFICE ASSISTANT,Part Time,NAGAR PANCHAYAT KAPTANGANJ KUSHINAGAR,21-04-2023,Capianganj,Uttar Pradesh,Unpaid,Immediately,2 Months,2,22-04-2023
1373,INTERNSHIP IN OFFICE MANAGEMENT,Full Time,Nagar Palika Parishad Shahabad,21-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1374,SBM INTERNSHIP COMMUNICATION,Part Time,NAGAR PALIKA PARISHAD MUBARAKPUR,21-04-2023,Mubarakpur,Uttar Pradesh,Unpaid,Immediately,3,5,20-05-2023
1375,SBM INTERNSHIP,Part Time,Nagar Panchayat Anandnagar,21-04-2023,Maharajganj,Uttar Pradesh,Unpaid,Immediately,1 Months,1,25-04-2023
1376,NP JALALI,Full Time,NAGAR PANCHAYAT JALALI,21-04-2023,Aligarh,Uttar Pradesh,12000 /month,Immediately,3 Months,1,21-04-2023
1377,SBM INTERNSHIP,Full Time,NAGAR PANCHAYAT KAMALGANJ,21-04-2023,Kamalganj,Uttar Pradesh,Unpaid,Immediately,1 Months,1,30-04-2023
1378,COMPUTER OPERATOR(INTERN),Part Time,NAGAR PALIKA PARISHAD AHRAURA,21-04-2023,Mirzapur,Uttar Pradesh,5000 /month,Immediately,1 Months,2,30-04-2023
1379,SWACCH BHARAT MISSION,Full Time,Nagar Panchayat Budhanpur,21-04-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,1 Months,5,30-04-2023
1380,OFFICE WORK,Full Time,NAGAR PALIKA PARISHAD ATRAULI,21-04-2023,Aligarh,Uttar Pradesh,Unpaid,Immediately,2 Months,3,30-06-2024
1381,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,Firozabad Municipal Corporation,21-04-2023,Firozabad,Uttar Pradesh,Unpaid,Immediately,2 Months,10,30-04-2023
1382,SWACCH BHARAT MISSION,Full Time,Nagar Panchayat Budhanpur,21-04-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,1 Months,5,30-04-2023
1383,SWACHH BHARAT MISSION INTERNS,Full Time,Nagar Palika Parishad Zamania,21-04-2023,Zamania,Uttar Pradesh,Unpaid,Immediately,02 Months,10,30-04-2023
1384,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,NAGAR PALIKA PARISHAD SIRSAGANJ,21-04-2023,Firozabad,Uttar Pradesh,Unpaid,Immediately,2 Months,2,26-04-2023
1385,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,NPP Mauranipur,21-04-2023,Jhansi,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1386,SBM INTERNSHIP,Virtual Internship,Deolali Pravara Municipal Council,21-04-2023,Deolali Pravara,Maharashtra,Unpaid,Immediately,1 Months,1,30-05-2023
1387,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,NAGAR PALIKA PARISHAD CHIRGAON,21-04-2023,Jhansi,Uttar Pradesh,Unpaid,Immediately,1 Months,2,30-04-2023
1388,SBM INTERNSHIP,Part Time,Nagar Panchayat Brijmanganj Maharajganj,21-04-2023,Maharajganj,Uttar Pradesh,Unpaid,Immediately,1 Months,1,25-04-2023
1389,SBM 2.0,Full Time,Nagar Panchayat Sikandra Kanpur dehat,21-04-2023,Akbarpur Mati,Uttar Pradesh,Unpaid,Immediately,1,1,10-05-2023
1390,SBM INTERNSHIP AT PANHALA MUNICIPAL COUNCIL,Full Time,Panhala Municipal Council,21-04-2023,Panhala,Maharashtra,1000 /month,Immediately,3 Months,1,03-05-2023
1391,WASTE MANAGEMENT INTERN,Part Time,NAGAR PANCHAYAT AKBARPUR,21-04-2023,Akbarpur,Uttar Pradesh,2500 /month,Immediately,3 Months,1,04-05-2023
1392,OFFICE WORK,Full Time,Nagar Panchayat Kauriyaganj,21-04-2023,Aligarh,Uttar Pradesh,Unpaid,Immediately,2 Months,1,10-07-2024
1393,DATA ANALYSIS AND MANAGEMENT INTERN FOR SWACHH BHARAT MISSION,Part Time,NAGAR PANCHAYAT DERAPUR,22-04-2023,Kanpur,Uttar Pradesh,1000 /month,Immediately,6 Months,2,30-09-2024
1394,SBM INTERNSHIP,Full Time,NAGAR PANCHAYAT MOHAMMDABAD,22-04-2023,Farrukhabad,Uttar Pradesh,Unpaid,Immediately,1 Months,1,30-04-2023
1395,SBM INTERNSHIP,Full Time,NAGAR PANCHAYAT MOHAMMDABAD,22-04-2023,Farrukhabad,Uttar Pradesh,Unpaid,Immediately,1 Months,1,30-04-2023
1396,"IEC, SOLID WASTE MANAGMENT INTERN",Full Time,NAGAR NIGAM MEERUT,22-04-2023,Meerut,Uttar Pradesh,Unpaid,Immediately,2 Months,10,31-05-2023
1397,SWACHHAGRAHI,Full Time,NAGAR PALIKA PARISHAD BAHRAICH,22-04-2023,Bahraich,Uttar Pradesh,Unpaid,Immediately,1 Months,5,30-07-2024
1398,SBM INTERNSHIP,Part Time,Nagar Panchayat Ghughali District Maharajganj,23-04-2023,Ghugali,Uttar Pradesh,Unpaid,Immediately,2 Months,1,28-04-2023
1399,SOLID WASTE MANAGEMENT TRAINEE,Full Time,NAGAR PANCHAYAT JYOTI KHUDIYA,23-04-2023,Mainpuri,Uttar Pradesh,Unpaid,Immediately,2 Weeks,5,25-04-2023
1400,SWACHH  BHARATH MISSION,Full Time,Nagar Panchayat Pratapgarh City,24-04-2023,Pratabgarh,Uttar Pradesh,Unpaid,Immediately,2 Months,5,15-05-2023
1401,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Palika Parishad Bharthana,24-04-2023,Bharthana,Uttar Pradesh,Unpaid,Immediately,2 month,2,30-04-2023
1402,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Palika Parishad Bharthana,24-04-2023,Bharthana,Uttar Pradesh,Unpaid,Immediately,2 Weeks,1,30-04-2023
1403,SWACHH  BHARATH MISSION,Part Time,NP Patti Pratapgarh,24-04-2023,Patti,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1404,SBM URBEN IT,Full Time,NAGAR PALIKA PARISHAD GAURIGANJ,24-04-2023,Amethi,Uttar Pradesh,5000 /month,Immediately,1month,2,23-05-2023
1405,SWACHH  BHARATH MISSION,Part Time,NAGAR PANCHAYAT ANTU PRATAPGARH,24-04-2023,Pratapgarh,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1406,SWACCH BHARAT MISSION URBAN,Full Time,Nagar Panchayat Bikapur Ayodhya,24-04-2023,Bikapur,Uttar Pradesh,Unpaid,Immediately,2 Months,2,15-07-2024
1407,SBM URBAN INTERNSHIP,Full Time,Pimpri Chinchwad Municipal Corporation,24-04-2023,Pimpri-Chinchwad,Maharashtra,7700 /month,Immediately,2 Months,15,16-05-2023
1408,SWACHH  BHARATH MISSION,Full Time,Nagar Panchayat Budhanpur,24-04-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,1 Months,5,18-05-2023
1409,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,NAGAR PALIKA PARISHAD JASWANTNAGAR,24-04-2023,Etawah,Uttar Pradesh,Unpaid,Immediately,2 month,10,10-07-2024
1410,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Part Time,NAGAR PANCHAYAT LAKHNA ETAWAH,24-04-2023,Etawah,Uttar Pradesh,Unpaid,Immediately,2 Weeks,10,30-04-2023
1411,SWACCH BHARAT MISSION,Part Time,NAGAR PANCHAYAT KATRA MEDENIGANJ,24-04-2023,Pratapgarh,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-04-2023
1412,SWACCH BHARAT MISSION,Full Time,Ghoshainganj Ayodhya,24-04-2023,Faizabad,Uttar Pradesh,Unpaid,Immediately,2 Months,2,10-05-2023
1413,MASTER TRAINER,Part Time,Nagar Palika Parishad Bisalpur Pilibhit,24-04-2023,Bisalpur Piliphit,Uttar Pradesh,Unpaid,Immediately,12 Weeks,4,05-05-2023
1414,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,NAGAR PANCHAYAT BHARATGANJ PRAYAGRAJ,24-04-2023,Allahabad,Uttar Pradesh,Unpaid,Immediately,1 Months,15,30-04-2023
1415,SBM URBAN,Full Time,Nagar Palika Parishad Bahjoi,24-04-2023,Sandila,Uttar Pradesh,Unpaid,Immediately,6 Months,5,30-04-2023
1416,SBM INTERNSHIP,Part Time,Nagar Panchayat Nichlaul District Maharajganj,24-04-2023,Maharajganj,Uttar Pradesh,Unpaid,Immediately,2 Months,2,05-05-2023
1417,SBM INTERNSHIP NPP MAINPURI,Full Time,NAGAR PALIKA MAINPURI,25-04-2023,Mainpuri,Uttar Pradesh,Unpaid,Immediately,1 Weeks,5,18-05-2023
1418,INTERNSHIP IN OFFICE MANAGEMENT,Part Time,NAGAR PANCHAYAT RAMKOLA,25-04-2023,Kushinagar,Uttar Pradesh,Unpaid,Immediately,3 Months,2,15-05-2023
1419,SBM URBAN,Full Time,NAGAR PANCHAYAT BABRALA,25-04-2023,Babrala,Uttar Pradesh,Unpaid,Immediately,3 Months,5,10-05-2023
1420,COMPUTER OPERATOR(INTERN),Part Time,NP Sainthal,25-04-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,1 Months,2,10-05-2023
1421,SBM INTERNSHIP,Full Time,Nagar Panchayat Badhani Chafa,25-04-2023,Siddharthnagar,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2,06-05-2023
1422,SBM INTERNSHIP,Full Time,Nagar Panchayat Itwa,25-04-2023,Siddharthnagar,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2,30-04-2023
1423,SBM INTERNSHIP,Full Time,Nagar Panchayat Kapilvastu,25-04-2023,Siddharth Nagar,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2,30-04-2023
1424,INTERNSHIP FOR OFFICE MANAGEMENT,Full Time,nagar panchayat pali hardoi,25-04-2023,Hardoi,Uttar Pradesh,Unpaid,Immediately,1 Months,1,30-04-2023
